Name,Draft Year,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
Jessie Govan ,2012,"6' 8.5""","6' 9.5""",255,"7' 3""","9' 1.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Yancy Gates ,2012,"6' 8.25""",NA,287,"7' 3""",NA,NA,0,0,27.3,NA,NA,NA,NA,11.7,3.46,NA,No
Kenyatta Smith ,2010,"6' 8""",NA,270,"7' 3""","8' 11""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wendell Carter ,2014,"6' 8""","6' 9""",246,"7' 3""","9' 0""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Marcus Lee ,2014,"6' 8""","6' 9""",220,"7' 3""","8' 11""",4.1,9.25,9.5,30.5,"11' 5.5""",38.5,"12' 1.5""",8,10.54,3.31,NA,No
Brandon Ingram ,2015,"6' 8""","6' 9.5""",196,"7' 3""","9' 1.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Sam Muldrow ,2011,"6' 7.75""",NA,213,"7' 3""","9' 0""",NA,0,0,32,"11' 8""",NA,NA,NA,13.18,3.37,NA,No
Wadly Mompremier ,2012,"6' 7.75""",NA,202,"7' 3""","9' 1""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Austin Wiley ,2014,"6' 7.5""","6' 8.5""",233,"7' 3""","9' 1.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Tyrus Thomas ,2006,"6' 7.25""","6' 8.25""",217,"7' 3""","9' 0""",5.6,0,0,34,"11' 10""",39.5,"12' 3.5""",8,11.36,3.2,22,4
Shawne Williams ,2006,"6' 7.25""","6' 8.75""",227,"7' 3""","8' 8""",8,0,0,32,"11' 4""",31,"11' 3""",NA,10.69,3.3,57,17
Ugonna Okyekwe ,2003,"6' 7.25""","6' 8.5""",228,"7' 3""","9' 1""",4.3,0,0,32,"11' 9""",36.5,"12' 1.5""",8,11.43,3.2,28,No
Caleb Swanigan ,2014,"6' 7.25""","6' 8.25""",272,"7' 3""","9' 0""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Caleb Swanigan ,2014,"6' 7.25""","6' 8.5""",265,"7' 3""","9' 0""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Rudy Gay ,2006,"6' 7""","6' 8""",222,"7' 3""","8' 11.20""",5.7,0,0,33,"11' 8.20""",40.5,"12' 3.70""",9,11.03,3.32,26,8
Arthur Johnson ,2004,"6' 7""","6' 8.5""",262,"7' 3""","9' 1""",NA,0,0,26.5,"11' 3.5""",28.5,"11' 5.5""",14,11.81,3.38,45,No
Delvon Johnson ,2011,"6' 7""",NA,232,"7' 3""","8' 11""",NA,0,0,28,"11' 3""",NA,NA,NA,12.12,3.32,NA,No
Caleb Swanigan ,2013,"6' 7""",NA,231,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Javon McCrea ,2014,"6' 7""","6' 8""",250,"7' 3""","8' 11""",7.7,9.5,10,28,"11' 3""",32,"11' 7""",12,11.87,3.39,NA,No
Richard Hendrix ,2008,"6' 6.75""","6' 7.75""",250,"7' 3""","9' 0""",9.2,0,0,26.5,"11' 2.5""",28,"11' 4""",13,10.62,3.27,NA,49
Bryant Dunston ,2008,"6' 6.75""","6' 8""",241,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Othello Hunter ,2008,"6' 6.5""","6' 7.5""",220,"7' 3""","9' 1.5""",6.4,0,0,28,"11' 5.5""",34.5,"12' 0""",7,11.51,3.18,NA,No
Vittorio Brown ,2012,"6' 6.5""",NA,228,"7' 3""","9' 0""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Kawhi Leonard ,2011,"6' 6""","6' 7""",227,"7' 3""","8' 10""",5.4,9.75,11.25,25.5,"10' 11.5""",32,"11' 6""",3,11.45,3.15,NA,15
Montrezl Harrell ,2013,"6' 5.75""","6' 6.5""",242,"7' 3""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Marco Killingsworth ,2006,"6' 5.5""","6' 6.75""",266,"7' 3""","8' 8""",19,0,0,28,"11' 0""",32,"11' 4""",13,11.42,3.34,47,No
Robert Carter ,2013,"6' 5""","6' 6""",252,"7' 3""","9' 1""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Yancy Gates ,2009,NA,"6' 9""",274,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
Alex Kirk ,2009,NA,"6' 9.5""",226,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meyers Leonard ,2009,NA,"7' 0""",215,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
Fab Melo ,2009,NA,"7' 0""",274,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
Dominique Ferguson ,2009,NA,"6' 8""",209,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yancy Gates ,2009,NA,"6' 9""",274,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
Alex Kirk ,2009,NA,"6' 9.5""",226,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meyers Leonard ,2009,NA,"7' 0""",215,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
Dominique Ferguson ,2009,NA,"6' 8""",209,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rakeem Christmas ,2010,NA,"6' 9""",226,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vernon Macklin ,2010,NA,"6' 10""",230,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
Daniel Ochefu ,2010,NA,"6' 10.5""",225,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rakeem Christmas ,2010,NA,"6' 9""",226,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vernon Macklin ,2010,NA,"6' 10""",230,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
A.J. Hammons ,2011,NA,"7' 0""",278,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaric Murray ,2011,NA,"6' 10.75""",249,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nerlens Noel ,2011,NA,"6' 11.5""",201,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Daniel Ochefu ,2011,NA,"6' 10.5""",232,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Oriakhi ,2011,NA,"6' 9.25""",238,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
AJ Hammons ,2011,NA,"7' 0""",278,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaric Murray ,2011,NA,"6' 10.75""",249,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nerlens Noel ,2011,NA,"6' 11.5""",201,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Daniel Ochefu ,2011,NA,"6' 10.5""",232,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jahlil Okafor ,2011,NA,"6' 10""",272,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Oriakhi ,2011,NA,"6' 9.25""",238,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
Noah Vonleh ,2011,NA,"6' 8""",216,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
Noah Vonleh ,2012,NA,"6' 9""",222,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9
Tony Mitchell ,2012,NA,"6' 8.5""",236,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,37
Tony Mitchell ,2012,NA,"6' 8.5""",236,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,37
Noah Vonleh ,2013,NA,"6' 9""",236,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9
Cheick Diallo ,2013,NA,"6' 8.5""",208,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Cliff Alexander ,2013,NA,"6' 8.5""",239,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Moustapha Diagne ,2013,NA,"6' 8""",249,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Cheick Diallo ,2013,NA,"6' 8.5""",208,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Noah Vonleh ,2013,NA,"6' 9""",236,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9
Harry Giles ,2013,NA,"6' 10""",204,"7' 3""","9' 1""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Kevon Looney ,2013,NA,"6' 9.5""",209,"7' 3""","9' 1.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Chris McCullough ,2013,NA,"6' 9""",202,"7' 3""","9' 0""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Myles Turner ,2013,NA,"6' 10.5""",230,"7' 3""","9' 0""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Damien Inglis ,2014,NA,"6' 8.5""",240,"7' 3""","8' 11.5""",NA,9.75,10,NA,NA,NA,NA,NA,NA,NA,NA,31
Nikola Jokic ,2014,NA,"6' 11""",253,"7' 3""","9' 3""",NA,8.75,8.75,NA,NA,NA,NA,NA,NA,NA,NA,41
Cheick Diallo ,2014,NA,"6' 9""",218,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Doral Moore ,2014,NA,"7' 0""",246,"7' 3""","9' 4""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Cheick Diallo ,2014,NA,"6' 9""",218,"7' 3""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Jeremy Tyler ,2010,"6' 9.10""","6' 10.28""",246,"7' 3.80""","9' 2.63""",NA,0,0,27.2,"11' 5.83""",33.1,"11' 11.73""",NA,NA,NA,NA,39
Daniel Mayr ,2014,"7' 1.25""","7' 2.25""",224,"7' 3.75""","9' 5.5""",NA,0,0,21.5,"11' 3""",23,"11' 4.5""",NA,13.11,3.7,NA,No
Brian Cusworth ,2007,"6' 11.5""","7' 0.5""",260,"7' 3.75""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Steve Hill ,2008,"6' 10.25""","7' 0""",231,"7' 3.75""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Keith Benson ,2011,"6' 10""","6' 11""",217,"7' 3.75""","9' 1.5""",6.1,9.5,11,31.5,"11' 9""",36,"12' 1.5""",12,11.88,3.35,NA,48
James Hughes ,2007,"6' 10""","6' 11.25""",211,"7' 3.75""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Nerlens Noel ,2013,"6' 10""","6' 11.75""",206,"7' 3.75""","9' 2""",4.2,9.5,10,NA,NA,NA,NA,NA,NA,NA,NA,6
Moussa Diagne ,2014,"6' 9.5""","6' 10.5""",218,"7' 3.75""","9' 3""",NA,0,0,27,"11' 6""",33,"12' 0""",NA,13.51,3.62,NA,No
Phillip Neumann ,2014,"6' 9.5""","6' 10.5""",234,"7' 3.75""","9' 2.5""",NA,0,0,26.5,"11' 5""",27,"11' 5.5""",NA,11.92,3.53,NA,No
Brandan Wright ,2007,"6' 8.75""","6' 10""",200,"7' 3.75""","9' 0.5""",5.8,0,0,30.5,"11' 7""",35.5,"12' 0""",2,11.76,3.31,61,8
Alex Oriakhi ,2013,"6' 8""","6' 9.5""",258,"7' 3.75""","9' 0""",11.6,8.25,9,27,"11' 3""",32.5,"11' 8.5""",20,11.87,3.45,NA,57
Uche Nsonwu Amadi ,2003,"6' 7.75""","6' 9.25""",246,"7' 3.75""","8' 10.5""",6,0,0,27.5,"11' 2""",29,"11' 3.5""",21,11.83,3.25,25,No
Myles Turner ,2014,NA,"6' 11.5""",242,"7' 3.75""","9' 1.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
Jordan Bachynski ,2015,"7' 1""","7' 2.25""",265,"7' 3.5""","9' 0.5""",NA,0,0,30.5,"11' 7""",34,"11' 10.5""",NA,12.28,3.53,NA,No
Chris Christoffersen ,2002,"7' 0.75""","7' 2""",291,"7' 3.5""","9' 1""",NA,0,0,28,"11' 5""",31,"11' 8""",13,12.55,3.39,57,No
Ndongo N'diaye ,2000,"6' 11.5""","7' 0.25""",208,"7' 3.5""","9' 4.5""",NA,0,0,24.5,"11' 5""",27.5,"11' 8""",4,13.16,3.69,60,26
Yi Jianlian ,2007,"6' 11""","7' 0.25""",246,"7' 3.5""",NA,3.4,0,0,NA,NA,38,NA,NA,NA,NA,NA,6
Marcin Gortat ,2005,"6' 11""","7' 0""",225,"7' 3.5""","9' 2""",NA,0,0,29.5,"11' 7.5""",36,"12' 2""",18,11.48,3.33,17,57
Chris Bosh ,2003,"6' 10.25""","6' 11.5""",225,"7' 3.5""","9' 1""",8,0,0,30.5,"11' 7.5""",33,"11' 10""",9,11.8,3.3,51,4
Alex Kirk ,2015,"6' 10""","6' 11.25""",275,"7' 3.5""","9' 1""",NA,0,0,28,"11' 5""",31.5,"11' 8.5""",NA,12.14,3.57,NA,No
Xavier Gibson ,2012,"6' 9.75""",NA,266,"7' 3.5""",NA,NA,0,0,29.3,NA,NA,NA,NA,12.32,3.46,NA,No
Gorgui Dieng ,2013,"6' 9.75""","6' 10.75""",230,"7' 3.5""","9' 3.5""",5.4,9,10,NA,NA,NA,NA,NA,NA,NA,NA,21
Will McDonald ,2003,"6' 9.5""","6' 10""",258,"7' 3.5""","9' 1.5""",13.6,0,0,25,"11' 2.5""",32.5,"11' 10""",17,11.83,3.42,48,No
Marvin Stone ,2003,"6' 9.5""","6' 10.5""",261,"7' 3.5""","9' 1.5""",17.4,0,0,25.5,"11' 3""",27.5,"11' 5""",9,12.1,3.5,69,No
A.J. Matthews ,2013,"6' 9.5""","6' 11""",213,"7' 3.5""","9' 1.5""",4.6,8.5,10,28,"11' 5.5""",33,"11' 10.5""",13,12.42,3.44,NA,No
Clint Capela ,2013,"6' 9.5""","6' 10.5""",211,"7' 3.5""","9' 2.5""",NA,0,0,27.5,"11' 6""",31.5,"11' 10""",NA,11.75,3.3,NA,25
Alex Kirk ,2014,"6' 9.25""","6' 10.75""",252,"7' 3.5""","9' 1.5""",13.6,9.25,10.5,28.5,"11' 6""",31.5,"11' 9""",NA,11.2,3.48,NA,No
Chris Webber ,1993,"6' 9""",NA,263,"7' 3.5""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
Eric Moreland ,2014,"6' 9""","6' 10.25""",224,"7' 3.5""","9' 2""",7.9,10.5,12,NA,NA,NA,NA,NA,NA,NA,NA,No
Maik Zirbes ,2012,"6' 8.75""","6' 10""",252,"7' 3.5""","9' 1.5""",NA,0,0,22,"10' 11.5""",26,"11' 3.5""",NA,12.18,3.65,NA,No
Lamont Barnes ,2000,"6' 8.5""","6' 9.25""",236,"7' 3.5""","9' 0""",NA,0,0,28,"11' 4""",29.5,"11' 5.5""",10,12.3,3.4,51,No
Vernon Macklin ,2011,"6' 8.5""",NA,243,"7' 3.5""","9' 0.75""",NA,0,0,31,"11' 7.75""",NA,NA,NA,12.9,3.03,NA,52
Gabe Olaseni ,2015,"6' 8.5""",NA,223,"7' 3.5""","9' 0.5""",NA,0,0,27,"11' 3.5""",NA,NA,NA,6.31,3.29,NA,No
Jarvis Varnado ,2010,"6' 8.25""","6' 10""",210,"7' 3.5""","9' 1.5""",9.5,9.25,9.5,29.5,"11' 7""",32.5,"11' 10""",3,11.61,3.37,NA,41
David Simon ,2005,"6' 8""","6' 9.5""",259,"7' 3.5""","9' 0""",NA,0,0,28,"11' 4""",33,"11' 9""",18,11.98,3.44,45,No
David Simon ,2004,"6' 8""","6' 9""",253,"7' 3.5""","9' 1""",NA,0,0,30,"11' 7""",35,"12' 0""",19,11.8,3.22,13,No
Kevon Looney ,2015,"6' 8""","6' 9.25""",222,"7' 3.5""","9' 2""",11.9,9.5,9.25,NA,NA,NA,NA,NA,NA,NA,NA,No
Jonathan Motley ,2012,"6' 7.5""",NA,200,"7' 3.5""","9' 1.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Frank Hassell ,2011,"6' 7.25""",NA,261,"7' 3.5""","9' 0.25""",NA,0,0,25.5,"11' 1.75""",NA,NA,NA,12.59,3.56,NA,No
Cliff Alexander ,2015,"6' 7.25""","6' 8.5""",239,"7' 3.5""","9' 1.5""",5.8,9.5,10.25,NA,NA,NA,NA,NA,NA,NA,NA,No
Marvin Williams ,2005,"6' 7""","6' 8.25""",228,"7' 3.5""","9' 0""",NA,0,0,29.5,"11' 5.5""",35,"11' 11""",12,11.11,3.17,15,2
Anthony King ,2008,"6' 7""","6' 9.75""",238,"7' 3.5""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
O.D. Anosike ,2013,"6' 7""",NA,243,"7' 3.5""","9' 0""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Shawn Jones ,2014,"6' 7""",NA,233,"7' 3.5""","8' 10""",NA,0,0,33.5,"11' 7.5""",NA,NA,NA,12.4,3.34,NA,No
Caleb Swanigan ,2015,"6' 6.75""","6' 7.75""",271,"7' 3.5""","9' 1""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Ike Diogu ,2005,"6' 6.5""","6' 8""",255,"7' 3.5""","9' 1""",NA,0,0,28,"11' 5""",31,"11' 8""",21,11.94,3.45,39,9
Curtis Kelly ,2010,NA,"6' 9""",239,"7' 3.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
Curtis Kelly ,2010,NA,"6' 9""",239,"7' 3.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
Karl Towns ,2013,NA,"7' 0""",243,"7' 3.5""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Alex Len ,2013,NA,NA,NA,"7' 3.5""",NA,6.4,9,10.75,NA,NA,NA,NA,NA,NA,NA,NA,5
Trey Lyles ,2014,NA,"6' 10""",250,"7' 3.5""","8' 11.5""",NA,9,10.25,NA,NA,NA,NA,NA,NA,NA,NA,No
Karl Towns ,2014,NA,"7' 0""",248,"7' 3.5""","9' 5""",NA,9.63,10.75,NA,NA,NA,NA,NA,NA,NA,NA,No
Cliff Alexander ,2014,NA,"6' 8""",251,"7' 3.5""","9' 0""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
Jessie Govan ,2014,NA,"6' 11""",266,"7' 3.5""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Diamond Stone ,2014,NA,"7' 0""",246,"7' 3.5""","9' 1""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Jesse Govan ,2014,NA,"6' 11""",266,"7' 3.5""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Uros Lukovic ,2010,"6' 10.68""","7' 0.25""",261,"7' 3.40""","9' 4.60""",NA,0,0,22,"11' 2.60""",28.3,"11' 8.90""",NA,NA,NA,NA,No
Omar Oraby ,2014,"7' 0.75""","7' 2""",263,"7' 3.25""","9' 5.5""",11.4,9.5,10.75,21.5,"11' 3""",24,"11' 5.5""",5,13,3.73,NA,No
Aaron Gray ,2007,"7' 0""","7' 1.75""",271,"7' 3.25""","9' 0.5""",15,0,0,27,"11' 3.5""",32.5,"11' 9""",17,12.07,3.7,65,49
Sertac Sanli ,2012,"6' 10.75""","7' 0""",262,"7' 3.25""","9' 2.5""",NA,0,0,18.5,"10' 9""",24.5,"11' 3""",NA,12.61,3.93,NA,No
Karl Anthony Towns ,2015,"6' 10.25""","6' 11.25""",250,"7' 3.25""","9' 1""",8.1,9.25,10.5,29,"11' 6""",36.5,"12' 1.5""",13,10.66,3.36,NA,No
Xavier Gibson ,2012,"6' 10""","6' 11.5""",267,"7' 3.25""","9' 2.5""",16.2,9.5,0,27,"11' 5.5""",28,"11' 6.5""",8,12.19,3.38,NA,No
Darryl Watkins ,2007,"6' 10""","6' 10.5""",250,"7' 3.25""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Courtney Sims ,2007,"6' 9.5""","6' 10.5""",241,"7' 3.25""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Mouhammadou Jaiteh ,2015,"6' 9.5""","6' 10.5""",247,"7' 3.25""","9' 2.5""",9.9,9,9.25,24.5,"11' 3""",31.5,"11' 10""",NA,12.05,3.38,NA,No
Christian Wood ,2015,"6' 9.25""","6' 10.5""",216,"7' 3.25""","9' 3.5""",14.7,9.25,10.75,NA,NA,NA,NA,NA,NA,NA,NA,No
Jerry Holman ,2003,"6' 8.75""","6' 9.75""",232,"7' 3.25""","9' 1.5""",6,0,0,33,"11' 10.5""",37.5,"12' 3""",11,11.54,3.24,23,No
Michael Dunigan ,2011,"6' 8.5""","6' 10""",238,"7' 3.25""","8' 11.5""",8,9,10.75,29.5,"11' 5""",34.5,"11' 10""",10,11.85,3.27,NA,58
Chris McCullough ,2015,"6' 8.25""","6' 9""",199,"7' 3.25""","9' 1""",6.2,8.75,8.75,NA,NA,NA,NA,NA,NA,NA,NA,No
Thomas Robinson ,2012,"6' 7.75""","6' 8.75""",244,"7' 3.25""","8' 10""",5,9.75,10.5,28.5,"11' 2.5""",35.5,"11' 9.5""",15,11.96,3.17,NA,5
Frank Elegar ,2008,"6' 7.25""","6' 8.75""",210,"7' 3.25""","8' 10""",4.5,0,0,33.5,"11' 7.5""",37.5,"11' 11.5""",11,11.86,3.17,NA,No
Al Farouq Aminu ,2010,"6' 7.25""","6' 8.5""",216,"7' 3.25""","9' 0.5""",8.2,9.5,9.5,27,"11' 3.5""",33.5,"11' 10""",13,11.29,3.3,NA,8
Brandon Ashley ,2015,"6' 7.25""","6' 8.5""",228,"7' 3.25""","8' 9""",8.8,9,9.5,31.5,"11' 4.5""",35.5,"11' 8.5""",NA,11.3,3.58,NA,No
Jordan Mickey ,2015,"6' 7""","6' 8.25""",238,"7' 3.25""","8' 10""",7.2,8.75,9.5,33,"11' 7""",37.5,"11' 11.5""",NA,11.8,3.28,NA,No
Jason Maxiell ,2005,"6' 5""","6' 6.25""",258,"7' 3.25""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,85,26
Thon Maker ,2015,NA,"7' 0""",218,"7' 3.25""","9' 3""",NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,No
Dejan Musli ,2010,"6' 11.07""","7' 0.65""",248,"7' 3.01""","9' 3.81""",NA,0,0,24.4,"11' 4.21""",28.3,"11' 8.11""",NA,NA,NA,NA,No
Dejan Musli ,2011,"6' 11.07""","7' 0.25""",262,"7' 3.01""","9' 0.27""",13.7,0,0,20.9,"10' 9.17""",31.2,"11' 7.47""",NA,NA,3.55,NA,No
Primoz Brezec ,2000,"7' 0.75""","7' 1.5""",243,"7' 2""","9' 2""",NA,0,0,26,"11' 4""",29.5,"11' 7.5""",NA,11.53,3.55,58,27
Mike Tisdale ,2011,"6' 11.75""",NA,236,"7' 2""","9' 2.5""",NA,0,0,26.5,"11' 5""",NA,NA,NA,11.22,3.55,NA,No
Izzet Turkyilmaz ,2012,"6' 11.5""","7' 0.75""",211,"7' 2""","9' 4""",NA,0,0,23.5,"11' 3.5""",28.5,"11' 8.5""",NA,11.84,3.58,NA,50
Willie Cauley Stein ,2014,"6' 11.25""","7' 0.25""",240,"7' 2""","9' 2""",6.4,9.25,9.5,31,"11' 9""",37,"12' 3""",19,10.45,3.15,NA,No
Chris Johnson ,2009,"6' 11""","7' 0""",192,"7' 2""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Dakari Johnson ,2015,"6' 11""","6' 11.75""",265,"7' 2""","9' 4""",14.9,9.25,10.5,22.5,"11' 2.5""",25,"11' 5""",NA,11.5,3.62,NA,No
Jeff Withey ,2013,"6' 10.75""","7' 0.5""",222,"7' 2""","9' 2.5""",8.7,9,9.75,26.5,"11' 5""",29,"11' 7.5""",10,12.49,3.47,NA,39
Daniel Miller ,2014,"6' 10.75""","6' 11.75""",267,"7' 2""","9' 2.5""",13.8,9,9.25,26,"11' 4.5""",30.5,"11' 9""",18,12.62,3.49,NA,No
Marcus Cousin ,2009,"6' 10.5""","6' 11.75""",248,"7' 2""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Colton Iverson ,2013,"6' 10.5""","7' 0""",263,"7' 2""","9' 2""",9.6,9.25,9.5,NA,NA,NA,NA,12,NA,NA,NA,53
Tiago Splitter ,2004,"6' 10.25""","6' 11.75""",233,"7' 2""","9' 1.5""",NA,0,0,26,"11' 3.5""",31.5,"11' 9""",8,11.65,3.38,52,28
Jusuf Nurkic ,2013,"6' 10""","6' 11.5""",280,"7' 2""","9' 1.5""",NA,0,0,21,"10' 10.5""",23,"11' 0.5""",NA,12.95,3.51,NA,16
Nicholas Richard ,2014,"6' 10""",NA,217,"7' 2""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Matur Maker ,2015,"6' 10""",NA,192,"7' 2""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Brian Cook ,2003,"6' 9.5""","6' 10.75""",234,"7' 2""","9' 1""",10.5,0,0,25,"11' 2""",29,"11' 6""",6,11.87,3.45,68,24
Chris Daniels ,2008,"6' 9.5""","6' 10.75""",258,"7' 2""",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Tony Woods ,2013,"6' 9.5""",NA,239,"7' 2""","9' 1.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Jack Cooley ,2013,"6' 9.5""","6' 10""",249,"7' 2""","8' 11""",7,8.5,9.25,27,"11' 2""",32.5,"11' 7.5""",18,11.5,3.58,NA,No
Jakub Parzenski ,2013,"6' 9.5""","7' 0.5""",230,"7' 2""","9' 0.5""",NA,0,0,26.4,"11' 2.90""",28,"11' 4.5""",NA,11.9,3.39,NA,No
Bobby Portis ,2015,"6' 9.5""","6' 10.5""",246,"7' 2""","9' 0.5""",8.9,9.5,9.25,25,"11' 1.5""",31.5,"11' 8""",NA,11.71,3.56,NA,No
Travis Hyman ,2015,"6' 9.25""","6' 10.5""",252,"7' 2""","9' 1""",NA,0,0,24.5,"11' 1.5""",30,"11' 7""",NA,11.54,3.4,NA,No
Mo Walker ,2015,"6' 9.25""",NA,270,"7' 2""","8' 11.5""",NA,0,0,24.5,"11' 0""",NA,NA,NA,6.87,3.66,NA,No
JaJuan Johnson ,2011,"6' 9""","6' 10""",220,"7' 2""","8' 11.5""",7.5,9,10,33.5,"11' 9""",38,"12' 1.5""",15,11.21,3.14,NA,27
